ID_Year,Year,ID_Antibiotic Class,Antibiotic_Class,Prescriptions_per_1000_Population,region
2014,2014,213,Cephalosporins,195,Kentucky
2014,2014,213,Cephalosporins,140,Louisiana
2014,2014,213,Cephalosporins,82,Maine
2014,2014,213,Cephalosporins,92,Maryland
2014,2014,213,Cephalosporins,87,Massachusetts
2014,2014,213,Cephalosporins,127,Michigan
2014,2014,213,Cephalosporins,96,Minnesota
2014,2014,213,Cephalosporins,177,Mississippi
2014,2014,213,Cephalosporins,129,Missouri
2014,2014,213,Cephalosporins,76,Montana
2014,2014,213,Cephalosporins,175,Nebraska
2014,2014,213,Cephalosporins,90,Nevada
2014,2014,213,Cephalosporins,84,New Hampshire
2014,2014,213,Cephalosporins,107,New Jersey
2014,2014,213,Cephalosporins,91,New Mexico
2014,2014,213,Cephalosporins,107,New York
2014,2014,213,Cephalosporins,118,North Carolina
2014,2014,213,Cephalosporins,133,North Dakota
2014,2014,213,Cephalosporins,127,Ohio
2014,2014,213,Cephalosporins,145,Oklahoma
2014,2014,213,Cephalosporins,69,Oregon
2014,2014,213,Cephalosporins,113,Pennsylvania
2014,2014,213,Cephalosporins,94,Rhode Island
2014,2014,213,Cephalosporins,124,South Carolina
2014,2014,213,Cephalosporins,155,South Dakota
2014,2014,213,Cephalosporins,172,Tennessee
2014,2014,213,Cephalosporins,130,Texas
2014,2014,213,Cephalosporins,122,Utah
2014,2014,213,Cephalosporins,84,Vermont
2014,2014,213,Cephalosporins,117,Virginia
2014,2014,213,Cephalosporins,81,Washington
2014,2014,213,Cephalosporins,211,West Virginia
2014,2014,213,Cephalosporins,89,Wisconsin
2014,2014,213,Cephalosporins,111,Wyoming
2015,2015,213,Cephalosporins,113,United States
2015,2015,213,Cephalosporins,176,Alabama
2015,2015,213,Cephalosporins,62,Alaska
2015,2015,213,Cephalosporins,110,Arizona
2015,2015,213,Cephalosporins,175,Arkansas
2015,2015,213,Cephalosporins,74,California
2015,2015,213,Cephalosporins,86,Colorado
2015,2015,213,Cephalosporins,110,Connecticut
2015,2015,213,Cephalosporins,114,Delaware
2015,2015,213,Cephalosporins,102,District of Columbia
2015,2015,213,Cephalosporins,88,Florida
2015,2015,213,Cephalosporins,112,Georgia
2015,2015,213,Cephalosporins,76,Hawaii
2015,2015,213,Cephalosporins,108,Idaho
2015,2015,213,Cephalosporins,98,Illinois
2015,2015,213,Cephalosporins,166,Indiana
2015,2015,213,Cephalosporins,169,Iowa
2015,2015,213,Cephalosporins,158,Kansas
2015,2015,213,Cephalosporins,198,Kentucky
2015,2015,213,Cephalosporins,143,Louisiana
2015,2015,213,Cephalosporins,83,Maine
2015,2015,213,Cephalosporins,92,Maryland
2015,2015,213,Cephalosporins,86,Massachusetts
2015,2015,213,Cephalosporins,125,Michigan
2015,2015,213,Cephalosporins,96,Minnesota
2015,2015,213,Cephalosporins,180,Mississippi
2015,2015,213,Cephalosporins,133,Missouri
2015,2015,213,Cephalosporins,80,Montana
2015,2015,213,Cephalosporins,182,Nebraska
2015,2015,213,Cephalosporins,92,Nevada
2015,2015,213,Cephalosporins,88,New Hampshire
2015,2015,213,Cephalosporins,106,New Jersey
2015,2015,213,Cephalosporins,92,New Mexico
2015,2015,213,Cephalosporins,107,New York
2015,2015,213,Cephalosporins,119,North Carolina
2015,2015,213,Cephalosporins,134,North Dakota
2015,2015,213,Cephalosporins,127,Ohio
2015,2015,213,Cephalosporins,144,Oklahoma
2015,2015,213,Cephalosporins,72,Oregon
2015,2015,213,Cephalosporins,114,Pennsylvania
2015,2015,213,Cephalosporins,99,Rhode Island
2015,2015,213,Cephalosporins,126,South Carolina
2015,2015,213,Cephalosporins,154,South Dakota
2015,2015,213,Cephalosporins,174,Tennessee
2015,2015,213,Cephalosporins,129,Texas
2015,2015,213,Cephalosporins,121,Utah
2015,2015,213,Cephalosporins,87,Vermont
2015,2015,213,Cephalosporins,119,Virginia
2015,2015,213,Cephalosporins,82,Washington
2015,2015,213,Cephalosporins,217,West Virginia
2015,2015,213,Cephalosporins,91,Wisconsin
2015,2015,213,Cephalosporins,114,Wyoming
2016,2016,213,Cephalosporins,114,United States
2016,2016,213,Cephalosporins,185,Alabama
2016,2016,213,Cephalosporins,62,Alaska
2016,2016,213,Cephalosporins,107,Arizona
